Stations,Longitude,Latitude,Zones,Depth,Phytoplankton,Diatoms,Dinoflagilates,Cyanobacteria,Temperature,Salinity,PO4,SiO3,NH4 ,NOx,NO2,NO3
H,130,10,Lower ,4,12.17,5.22,6.96,0,19.26,34.9,0.44,2.33,0.22,3.59,0.06,3.53
I,130,9,Lower ,1,75.65,54.78,20.87,0,29.37,33.9,0.11,0.46,0.35,0.56,0.09,0.46
I,130,9,Lower ,2,58.26,33.91,24.35,0,29.35,33.9,0.04,0.56,0.29,0.2,0.05,0.15
I,130,9,Lower ,3,67.83,50.43,17.39,0,23.95,34.75,0.05,1.92,0.19,2.16,0.15,2.01
I,130,9,Lower ,4,76.52,72.17,4.35,0,15.82,34.62,0.3,4.11,0.07,5.95,0.05,5.9
J,130,8,Down ,1,30.43,22.61,7.83,1.74,29.43,33.87,0.06,0.98,0.38,2.11,0.1,2.01
J,130,8,Down ,2,99.13,76.52,22.61,0,29.38,33.93,0,0.92,0.19,1.01,0.04,0.96
J,130,8,Down ,3,120.87,103.48,17.39,0,23.34,34.79,0.28,1.65,0.16,1.37,0.17,1.2
J,130,8,Down ,4,148.7,135.65,13.04,0,16.79,34.67,0.96,8.85,0.06,12.39,0.04,12.35
K,130,7,Down ,1,66.96,57.39,9.57,236.52,29.74,33.53,0.16,0.95,0.48,1.14,0.06,1.08
K,130,7,Down ,2,75.65,53.91,21.74,1.74,29.54,33.71,0.17,0.8,0.42,0.31,0.05,0.26
K,130,7,Down ,3,103.48,84.35,19.13,0,22.15,34.8,0.37,1.76,0.32,2.18,0.17,2.01
K,130,7,Down ,4,59.13,58.26,0.87,0,15.68,34.63,1.14,7.61,0.18,9.66,0.03,9.64
L,130,6,Down ,1,29.57,23.48,6.09,78.26,29.82,33.78,0.05,0.52,0.39,0.95,0.04,0.91
L,130,6,Down ,2,125.22,109.57,15.65,2.61,29.3,33.91,0.02,1.07,0.79,0.99,0.06,0.93
L,130,6,Down ,3,342.61,323.48,19.13,0,24.48,34.79,0.29,3.03,1.29,4.14,0.34,3.81
L,130,6,Down ,4,0,0,0,0,18.17,34.73,0.66,7.76,0,9.16,0.07,9.09
M,130,5.5,Down ,1,66.96,53.91,13.04,174.78,29.74,33.38,0.05,1.17,0,0.66,0.05,0.61
M,130,5.5,Down ,2,160,124.35,35.65,0.87,28.87,34.12,0.06,1.14,0,0.34,0.05,0.29
M,130,5.5,Down ,3,146.96,133.04,13.91,1.74,21.75,34.94,0.18,1,0.26,2.14,0.1,2.04
M,130,5.5,Down ,4,92.17,86.09,6.09,0,18.14,34.84,0.76,6.56,0,8.53,0.05,8.48
N,130,5,Down ,1,65.22,46.09,19.13,227.83,29.98,33.86,0.03,0.79,0.21,0.91,0.04,0.88
N,130,5,Down ,2,57.39,35.65,21.74,5.22,29.86,34.15,0.03,1.08,0.58,0.61,0.06,0.55
N,130,5,Down ,3,180.87,162.61,18.26,0.87,25.87,34.78,0.23,1.85,0,4.11,0.16,3.95
N,130,5,Down ,4,58.26,56.52,1.74,0,18.89,34.87,0.66,4.6,0.41,6.06,0.14,5.92
O,130,4,Mid ,1,74.78,53.91,20.87,11.3,29.76,33.7,0.14,0.98,1.06,1.05,0.16,0.89
O,130,4,Mid ,2,225.22,200,25.22,0,29.95,34.38,0.06,0.64,0.38,0.18,0.1,0.08
O,130,4,Mid ,3,186.96,180,6.96,10.43,26.17,34.89,0.31,1.7,0.06,4.29,0.19,4.1
O,130,4,Mid ,4,33.04,30.43,2.61,0.87,19.18,34.75,0.48,4.61,0.29,6.18,0.13,6.05
P,130,2.5,Mid ,1,88.7,61.74,26.96,399.13,29.89,33.79,0,1.15,0.08,0.88,0.2,0.68
P,130,2.5,Mid ,2,493.91,468.7,25.22,4.35,29.59,34.54,0.04,0.78,0.3,1.69,0.14,1.54
P,130,2.5,Mid ,3,111.3,104.35,6.96,1.74,25.07,35.05,0.3,1,0.54,2.51,0.12,2.39
P,130,2.5,Mid ,4,45.22,40,5.22,0,17.91,34.74,0.56,7.39,0,9.36,0.19,9.18
Q,130,2,Mid ,1,70.43,45.22,25.22,46.96,30.05,33.82,0.01,1.02,0.75,0.74,0.17,0.56
Q,130,2,Mid ,2,375.65,333.04,42.61,17.39,29.94,34.47,0.03,1.19,0.14,0.33,0.19,0.14
Q,130,2,Mid ,3,265.22,247.83,17.39,0,28.17,34.76,0.1,1.27,1.01,2.42,0.36,2.06
Q,130,2,Mid ,4,146.96,137.39,9.57,0,21.73,35.24,0.73,3.91,0,8.94,0.22,8.72
